device,name,device_type,manufacturer,model,generic_name,ward,ward_criticality,patient_impact,criticality,network,ip,maintenance,static_risk,behaviour_risk,gnn_risk,xgb_risk,total_risk,clinical_urgency,fda_event_type,fda_report_date,fda_mdr_key
RCL0348,Recalled Device 348,Medfusion ASSEMBLY PLUNGER CAS,Smiths Medical ASD Inc.,Medfusion ASSEMBLY P,Medfusion ASSEMBLY PLUNGER CAS,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.75.34,2026-04-02,0.85,0.637,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0346,Recalled Device 346,"Medfusion Syringe Pump, Model ",Smiths Medical ASD Inc.,Medfusion Syringe Pu,"Medfusion Syringe Pump, Model ",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.183.150,2026-04-02,0.85,0.446,0.935,0.892,1.0,CRITICAL,RECALL,,
FDA0036,Infusion Pump 036,Infusion Pump,"Abiomed, Inc. - 1220648",IMPELLA 5.5 WITH SMA,TEMPORARY NON-ROLLER TYPE LEFT,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.2.170.178,2026-07-04,0.743,0.874,0.875,0.849,1.0,CRITICAL,Injury,20260227,24466165
RCL0345,Recalled Device 345,"Medfusion Syringe Pump, Model ",Smiths Medical ASD Inc.,Medfusion Syringe Pu,"Medfusion Syringe Pump, Model ",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.250.150,2026-04-02,0.85,0.498,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0340,Recalled Device 340,Symbiq One Channel Infuser; an,Hospira Inc.,Symbiq One Channel I,Symbiq One Channel Infuser; an,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.244.162,2026-04-02,0.85,0.43,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0343,Recalled Device 343,"Medfusion Syringe Pump, Model ",Smiths Medical ASD Inc.,Medfusion Syringe Pu,"Medfusion Syringe Pump, Model ",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.22.107,2026-04-02,0.85,0.497,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0344,Recalled Device 344,"Medfusion Syringe Pump, Model ",Smiths Medical ASD Inc.,Medfusion Syringe Pu,"Medfusion Syringe Pump, Model ",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.225.229,2026-04-02,0.85,0.516,0.935,0.892,1.0,CRITICAL,RECALL,,
RCL0341,Recalled Device 341,Symbiq Two Channel Infuser; an,Hospira Inc.,Symbiq Two Channel I,Symbiq Two Channel Infuser; an,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.208.189,2026-04-02,0.85,0.335,0.935,0.892,0.976,CRITICAL,RECALL,,
RCL0347,Recalled Device 347,"Medfusion PLUNGER FLOAT PLATE,",Smiths Medical ASD Inc.,Medfusion PLUNGER FL,"Medfusion PLUNGER FLOAT PLATE,",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.88.85,2026-04-02,0.85,0.322,0.935,0.892,0.972,CRITICAL,RECALL,,
FDA0012,Ventilator 012,Ventilator,"Respironics, Inc.",REMSTAR AUTOA-FLEX,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.123.248,2026-08-21,0.45,0.846,0.669,0.68,0.943,CRITICAL,Malfunction,20260227,24466109
RCL0303,Recalled Device 303,"Z-800 Infusion System, Model N",Zyno Medical LLC,Z-800 Infusion Syste,"Z-800 Infusion System, Model N",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.15.113,2026-04-02,0.65,0.683,0.715,0.683,0.885,CRITICAL,RECALL,,
FDA0018,Ventilator 018,Ventilator,"Respironics, Inc.",REMSTAR PRO C-FLEX+,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.4.229.128,2026-09-19,0.526,0.671,0.642,0.628,0.878,CRITICAL,Malfunction,20260227,24466135
FDA0013,Ventilator 013,Ventilator,"Respironics, Inc.",REMSTAR PRO C-FLEX+,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.22.62,2026-06-23,0.512,0.669,0.632,0.62,0.866,CRITICAL,Malfunction,20260227,24466110
RCL0350,Recalled Device 350,"Sapphire Infusion Pumps, Model","EITAN MEDICAL LTD 29, Yad Khar",Sapphire Infusion Pu,"Sapphire Infusion Pumps, Model",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.54.241,2026-04-02,0.65,0.574,0.715,0.683,0.85,CRITICAL,RECALL,,
FDA0004,Ventilator 004,Ventilator,"Respironics, Inc.",REMSTAR PRO C-FLEX+,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.4.114.173,2026-08-24,0.309,0.736,0.528,0.549,0.757,CRITICAL,Malfunction,20260227,24466076
FDA0038,Infusion Pump 038,Infusion Pump,"Abiomed, Inc. - 1220648",RP FLEX W SMART ASSI,TEMPORARY NON-ROLLER TYPE RIGH,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.178.210,2026-09-23,0.857,0.253,0.677,0.583,0.754,CRITICAL,Death,20260227,24466174
FDA0210,Dialysis Machine 210,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.207.125,2026-10-09,0.73,0.272,0.601,0.526,0.753,CRITICAL,Injury,20260226,24460867
FDA0208,Dialysis Machine 208,Dialysis Machine,Vantive Us Healthcare Llc,MINICAP TRANSFER SET,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.3.112.77,2026-05-22,0.739,0.232,0.59,0.51,0.732,HIGH,Injury,20260226,24457017
FDA0138,Syringe Pump 138,Syringe Pump,"Abiomed, Inc. - 1220648",RP FLEX W SMART ASSI,TEMPORARY NON-ROLLER TYPE RIGH,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.3.175.178,2026-09-21,0.874,0.185,0.658,0.556,0.722,HIGH,Death,20260227,24466174
FDA0214,Dialysis Machine 214,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.4.212.159,2026-01-02,0.751,0.203,0.585,0.501,0.721,HIGH,Injury,20260225,24443767
FDA0040,Infusion Pump 040,Infusion Pump,"Abiomed, Inc. - 1220648",PUMP 371 14F LT CMR ,TEMPORARY NON-ROLLER TYPE LEFT,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.2.245.63,2026-02-16,0.817,0.235,0.643,0.552,0.715,HIGH,Death,20260227,24466208
RCL0310,Recalled Device 310,"Acclaim Encore Infusion Pump, ",Hospira Inc,Acclaim Encore Infus,"Acclaim Encore Infusion Pump, ",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.118.89,2026-04-02,0.45,0.653,0.495,0.473,0.672,HIGH,RECALL,,
RCL0328,Recalled Device 328,"Plum XL, list numbers 11555-04",Hospira Inc,"Plum XL, list number","Plum XL, list numbers 11555-04",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.164.39,2026-04-02,0.45,0.651,0.495,0.473,0.671,HIGH,RECALL,,
RCL0313,Recalled Device 313,GemStar Docking Station (90-26,Hospira Inc,GemStar Docking Stat,GemStar Docking Station (90-26,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.207.203,2026-04-02,0.45,0.642,0.495,0.473,0.668,HIGH,RECALL,,
FDA0218,Dialysis Machine 218,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.67.115,2026-06-02,0.64,0.246,0.531,0.465,0.666,HIGH,Injury,20260225,24445071
RCL0327,Recalled Device 327,Plum A+ Infusion System with H,Hospira Inc,Plum A+ Infusion Sys,Plum A+ Infusion System with H,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.88.10,2026-04-02,0.45,0.62,0.495,0.473,0.661,HIGH,RECALL,,
RCL0309,Recalled Device 309,Plum A+ Hyperbaric Single Chan,Hospira Inc.,Plum A+ Hyperbaric S,Plum A+ Hyperbaric Single Chan,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.97.185,2026-04-02,0.45,0.62,0.495,0.473,0.661,HIGH,RECALL,,
RCL0349,Recalled Device 349,Reservoir Bag for WalkMed Infu,"WalkMed, LLC",Reservoir Bag for Wa,Reservoir Bag for WalkMed Infu,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.49.146,2026-04-02,0.45,0.619,0.495,0.473,0.661,HIGH,RECALL,,
RCL0325,Recalled Device 325,Alaris Pump Module model 8100 ,"CareFusion 303, Inc.",Alaris Pump Module m,Alaris Pump Module model 8100 ,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.41.38,2026-04-02,0.45,0.618,0.495,0.473,0.66,HIGH,RECALL,,
RCL0331,Recalled Device 331,"Plum XL3M, List numbers 11845-",Hospira Inc,"Plum XL3M, List numb","Plum XL3M, List numbers 11845-",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.160.36,2026-04-02,0.45,0.618,0.495,0.473,0.66,HIGH,RECALL,,
RCL0338,Recalled Device 338,Infusion Dynamics Power Infuse,"Infusion Dynamics, A Div. of Z",Infusion Dynamics Po,Infusion Dynamics Power Infuse,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.136.166,2026-04-02,0.45,0.618,0.495,0.473,0.66,HIGH,RECALL,,
FDA0209,Dialysis Machine 209,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.148.13,2026-09-12,0.625,0.25,0.522,0.459,0.657,HIGH,Injury,20260226,24460715
RCL0322,Recalled Device 322,"Plum A+ v.11.X, list #s 12391-",Hospira Inc,"Plum A+ v.11.X, list","Plum A+ v.11.X, list #s 12391-",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.124.108,2026-04-02,0.45,0.608,0.495,0.473,0.657,HIGH,RECALL,,
FDA0217,Dialysis Machine 217,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.3.236.237,2026-04-25,0.696,0.172,0.535,0.456,0.657,HIGH,Injury,20260225,24444829
RCL0317,Recalled Device 317,"Nutrimix Micro Compounder, Lis",Hospira Inc,Nutrimix Micro Compo,"Nutrimix Micro Compounder, Lis",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.168.175,2026-04-02,0.45,0.601,0.495,0.473,0.655,HIGH,RECALL,,
RCL0334,Recalled Device 334,Outlook ES pump is intended fo,"B Braun Medical, Inc",Outlook ES pump is i,Outlook ES pump is intended fo,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.86.71,2026-04-02,0.45,0.603,0.495,0.473,0.655,HIGH,RECALL,,
FDA0220,Dialysis Machine 220,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.210.13,2026-01-12,0.729,0.134,0.54,0.453,0.655,HIGH,Injury,20260225,24445300
RCL0337,Recalled Device 337,CADD(TM) Medication Cassette R,Smiths Medical ASD Inc.,CADD(TM) Medication ,CADD(TM) Medication Cassette R,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.122.104,2026-04-02,0.45,0.6,0.495,0.473,0.654,HIGH,RECALL,,
RCL0342,Recalled Device 342,***This recall is being conduc,MOOG Medical Devices Group,***This recall is be,***This recall is being conduc,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.115.98,2026-04-02,0.45,0.593,0.495,0.473,0.652,HIGH,RECALL,,
RCL0311,Recalled Device 311,"Flexiflo Quantum Enteral Pump,",Hospira Inc,Flexiflo Quantum Ent,"Flexiflo Quantum Enteral Pump,",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.176.36,2026-04-02,0.45,0.584,0.495,0.473,0.649,HIGH,RECALL,,
FDA0078,Defibrillator 078,Defibrillator,Zoll Medical Corporation,AED PLUS,DEFIBRILLATOR,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.24.186,2026-04-27,0.602,0.251,0.508,0.448,0.64,HIGH,Malfunction,20260227,24468730
RCL0330,Recalled Device 330,"Plum XL 3, list #s 11781-04-01",Hospira Inc,"Plum XL 3, list #s 1","Plum XL 3, list #s 11781-04-01",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.82.156,2026-04-02,0.45,0.551,0.495,0.473,0.638,HIGH,RECALL,,
RCL0315,Recalled Device 315,"LifeCare PCA 3, list #s 12384-",Hospira Inc,"LifeCare PCA 3, list","LifeCare PCA 3, list #s 12384-",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.50.233,2026-04-02,0.45,0.548,0.495,0.473,0.638,HIGH,RECALL,,
RCL0320,Recalled Device 320,Plum A+ Infusion System (veter,Hospira Inc,Plum A+ Infusion Sys,Plum A+ Infusion System (veter,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.19.12,2026-04-02,0.45,0.533,0.495,0.473,0.633,HIGH,RECALL,,
RCL0336,Recalled Device 336,CADD(TM) Medication Cassette R,Smiths Medical ASD Inc.,CADD(TM) Medication ,CADD(TM) Medication Cassette R,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.95.163,2026-04-02,0.45,0.528,0.495,0.473,0.631,HIGH,RECALL,,
RCL0339,Recalled Device 339,CADD(TM) Yellow Medication Cas,Smiths Medical ASD Inc.,CADD(TM) Yellow Medi,CADD(TM) Yellow Medication Cas,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.233.26,2026-04-02,0.45,0.522,0.495,0.473,0.629,HIGH,RECALL,,
RCL0312,Recalled Device 312,GemStar AC Wall (Mains) adapte,Hospira Inc,GemStar AC Wall (Mai,GemStar AC Wall (Mains) adapte,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.116.139,2026-04-02,0.45,0.518,0.495,0.473,0.628,HIGH,RECALL,,
FDA0140,Syringe Pump 140,Syringe Pump,"Abiomed, Inc. - 1220648",PUMP 371 14F LT CMR ,TEMPORARY NON-ROLLER TYPE LEFT,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.214.177,2026-09-03,0.835,0.077,0.585,0.479,0.627,HIGH,Death,20260227,24466208
FDA0070,Defibrillator 070,Defibrillator,Zoll Manufacturing Corporation,LIFEVEST WCD 4000 SY,WEARABLE CARDIOVERTER DEFIBRIL,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.209.113,2026-06-10,0.628,0.205,0.505,0.437,0.627,HIGH,Malfunction,20260227,24468489
RCL0304,Recalled Device 304,CareFusion Alaris PC Unit Mode,CareFusion Corporation,CareFusion Alaris PC,CareFusion Alaris PC Unit Mode,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.131.66,2026-04-02,0.45,0.507,0.495,0.473,0.624,HIGH,RECALL,,
FDA0061,Defibrillator 061,Defibrillator,Boston Scientific Corporation,MOMENTUM? EL ICD DR,IMPLANTABLE CARDIOVERTER DEFIB,EMERGENCY,0.85,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.123.100,2026-03-07,0.788,0.124,0.575,0.479,0.621,HIGH,Injury,20260227,24466087
RCL0318,Recalled Device 318,"Omniflow 4000 Plus, List numbe",Hospira Inc,"Omniflow 4000 Plus, ","Omniflow 4000 Plus, List numbe",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.112.199,2026-04-02,0.45,0.486,0.495,0.473,0.617,HIGH,RECALL,,
RCL0316,Recalled Device 316,LifeCare PCA with Hospira Medn,Hospira Inc,LifeCare PCA with Ho,LifeCare PCA with Hospira Medn,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.65.143,2026-04-02,0.45,0.479,0.495,0.473,0.615,HIGH,RECALL,,
RCL0332,Recalled Device 332,"Plum XLM, list #s 11846-04-03,",Hospira Inc,"Plum XLM, list #s 11","Plum XLM, list #s 11846-04-03,",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.187.199,2026-04-02,0.45,0.479,0.495,0.473,0.615,HIGH,RECALL,,
FDA0072,Defibrillator 072,Defibrillator,Zoll Manufacturing Corporation,LIFEVEST WCD 5100 SY,WEARABLE CARDIOVERTER DEFIBRIL,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.156.27,2026-07-21,0.598,0.216,0.49,0.427,0.612,HIGH,Malfunction,20260227,24468576
FDA0016,Ventilator 016,Ventilator,"Respironics, Inc.",REMSTAR,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.15.30,2026-04-14,0.629,0.182,0.495,0.426,0.612,HIGH,Malfunction,20260227,24466121
FDA0062,Defibrillator 062,Defibrillator,Abbott,RIATA PASSIVE FIXATI,Permanent defibrillator electr,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.3.153.90,2026-03-04,0.56,0.254,0.481,0.427,0.61,HIGH,Malfunction,20260227,24466108
RCL0326,Recalled Device 326,Plum A+3 Infusion System with ,Hospira Inc,Plum A+3 Infusion Sy,Plum A+3 Infusion System with ,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.161.93,2026-04-02,0.45,0.46,0.495,0.473,0.609,HIGH,RECALL,,
RCL0306,Recalled Device 306,Plum A+ Single Channel Infusio,Hospira Inc.,Plum A+ Single Chann,Plum A+ Single Channel Infusio,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.10.209,2026-04-02,0.45,0.456,0.495,0.473,0.608,HIGH,RECALL,,
FDA0219,Dialysis Machine 219,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.155.62,2026-02-15,0.589,0.217,0.484,0.423,0.606,HIGH,Injury,20260225,24445122
RCL0305,Recalled Device 305,Outlook ES Safety Infusion Sys,"B Braun Medical, Inc",Outlook ES Safety In,Outlook ES Safety Infusion Sys,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.138.111,2026-04-02,0.45,0.449,0.495,0.473,0.605,HIGH,RECALL,,
RCL0321,Recalled Device 321,"Plum A+3, list #s 12348-04-03,",Hospira Inc,"Plum A+3, list #s 12","Plum A+3, list #s 12348-04-03,",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.247.55,2026-04-02,0.45,0.438,0.495,0.473,0.602,HIGH,RECALL,,
RCL0333,Recalled Device 333,"Plum XL3D, list #s 11855-04-01",Hospira Inc,"Plum XL3D, list #s 1","Plum XL3D, list #s 11855-04-01",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.87.173,2026-04-02,0.45,0.42,0.495,0.473,0.596,HIGH,RECALL,,
FDA0034,Infusion Pump 034,Infusion Pump,"Abiomed, Inc. - 1220648",IMPELLA 5.5 WITH SMA,TEMPORARY NON-ROLLER TYPE LEFT,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.1.123.49,2026-05-12,0.77,0.096,0.55,0.455,0.594,HIGH,Injury,20260227,24466139
RCL0324,Recalled Device 324,"Plum A+3 v.11.X, list #s 12618",Hospira Inc,"Plum A+3 v.11.X, lis","Plum A+3 v.11.X, list #s 12618",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.128.105,2026-04-02,0.45,0.412,0.495,0.473,0.593,HIGH,RECALL,,
RCL0335,Recalled Device 335,"Belmont Rapid Infuser, a Fluid",Belmont Instrument Corporation,Belmont Rapid Infuse,"Belmont Rapid Infuser, a Fluid",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.211.163,2026-04-02,0.45,0.408,0.495,0.473,0.592,HIGH,RECALL,,
RCL0302,Recalled Device 302,Baxter Colleague Triple Channe,Baxter Healthcare Corp. Rt.,Baxter Colleague Tri,Baxter Colleague Triple Channe,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.215.204,2026-04-02,0.45,0.406,0.495,0.473,0.591,HIGH,RECALL,,
FDA0076,Defibrillator 076,Defibrillator,Zoll Manufacturing Corporation,LIFEVEST WCD 4000 SY,WEARABLE CARDIOVERTER DEFIBRIL,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.3.48.160,2026-06-14,0.494,0.294,0.455,0.414,0.587,HIGH,Malfunction,20260227,24468699
RCL0329,Recalled Device 329,"Plum XLD, list numbers 11859-0",Hospira Inc,"Plum XLD, list numbe","Plum XLD, list numbers 11859-0",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.41.196,2026-04-02,0.45,0.39,0.495,0.473,0.586,HIGH,RECALL,,
FDA0180,Pacemaker Programmer 180,Pacemaker Programmer,Medtronic Puerto Rico Villalba,CAPSUREFIX NOVUS LEA,PERMANENT PACEMAKER ELECTRODE,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.2.12.148,2026-03-20,0.759,0.264,0.617,0.537,0.583,HIGH,Injury,20260227,24466625
