device,name,device_type,manufacturer,model,generic_name,ward,ward_criticality,patient_impact,criticality,network,ip,maintenance,static_risk,behaviour_risk,gnn_risk,xgb_risk,total_risk,clinical_urgency,fda_event_type,fda_report_date,fda_mdr_key
FDA0136,Syringe Pump 136,Syringe Pump,"Abiomed, Inc. - 1220648",IMPELLA 5.5 WITH SMA,TEMPORARY NON-ROLLER TYPE LEFT,GENERAL_WARD,0.6,CRITICAL_CARE,High,CLINICAL,10.1.247.250,2026-08-22,0.727,0.659,0.77,0.728,0.582,HIGH,Injury,20260227,24466165
FDA0065,Defibrillator 065,Defibrillator,Zoll Manufacturing Corporation,LIFEVEST WCD 4000 SY,WEARABLE CARDIOVERTER DEFIBRIL,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.16.153,2026-03-01,0.584,0.186,0.467,0.404,0.58,HIGH,Malfunction,20260227,24468239
FDA0121,Syringe Pump 121,Syringe Pump,Beta Bionics Inc.,ILET BIONIC PANCREAS,ALTERNATE CONTROLLER ENABLED I,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.40.248,2026-04-16,0.565,0.297,0.504,0.453,0.58,HIGH,Malfunction,20260227,24466007
RCL0301,Recalled Device 301,Baxter Colleague Single Channe,Baxter Healthcare Corp. Rt.,Baxter Colleague Sin,Baxter Colleague Single Channe,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.186.140,2026-04-02,0.45,0.369,0.495,0.473,0.579,HIGH,RECALL,,
FDA0129,Syringe Pump 129,Syringe Pump,Beta Bionics Inc.,ILET BIONIC PANCREAS,ALTERNATE CONTROLLER ENABLED I,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.2.120.93,2026-09-12,0.578,0.279,0.504,0.45,0.577,HIGH,Malfunction,20260227,24466050
RCL0319,Recalled Device 319,Plum LifeCare 5000 (Plum 1.6) ,Hospira Inc,Plum LifeCare 5000 (,Plum LifeCare 5000 (Plum 1.6) ,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.26.152,2026-04-02,0.45,0.356,0.495,0.473,0.575,HIGH,RECALL,,
FDA0025,Infusion Pump 025,Infusion Pump,Medtronic Puerto Rico Operatio,PUMP 1886 780G OUS B,AUTOMATED INSULIN DOSING DEVIC,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.205.108,2026-04-17,0.574,0.278,0.501,0.447,0.574,HIGH,Malfunction,20260227,24466039
RCL0307,Recalled Device 307,Plum A+3 Triple Channel Infusi,Hospira Inc.,Plum A+3 Triple Chan,Plum A+3 Triple Channel Infusi,GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.149.50,2026-04-02,0.45,0.334,0.495,0.473,0.568,HIGH,RECALL,,
FDA0011,Ventilator 011,Ventilator,"Respironics, Inc.",REMSTAR PRO C-FLEX+,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.17.128,2026-04-08,0.513,0.245,0.446,0.398,0.567,HIGH,Malfunction,20260227,24466085
RCL0314,Recalled Device 314,"LifeCare PCA Plus II, list #01",Hospira Inc,LifeCare PCA Plus II,"LifeCare PCA Plus II, list #01",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.85.118,2026-04-02,0.45,0.324,0.495,0.473,0.565,HIGH,RECALL,,
FDA0001,Ventilator 001,Ventilator,"Respironics, Inc.",REMSTAR PLUS C-FLEX,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.4.53.96,2026-07-11,0.473,0.284,0.437,0.397,0.564,HIGH,Malfunction,20260227,24466004
FDA0166,Pacemaker Programmer 166,Pacemaker Programmer,"St. Jude Medical, Inc.(Crm-Syl",QUICKFLEX MICRO LV L,Drug eluting permanent left ve,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.4.78.187,2026-07-21,0.783,0.2,0.605,0.516,0.563,HIGH,Injury,20260227,24466347
FDA0035,Infusion Pump 035,Infusion Pump,Medtronic Puerto Rico Operatio,PUMP MMT-1880L MM770,AUTOMATED INSULIN DOSING DEVIC,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.156.249,2026-03-19,0.592,0.24,0.496,0.437,0.562,HIGH,Malfunction,20260227,24466157
RCL0323,Recalled Device 323,"Plum A+ v.10.3, list #s 11971-",Hospira Inc,"Plum A+ v.10.3, list","Plum A+ v.10.3, list #s 11971-",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.252.43,2026-04-02,0.45,0.312,0.495,0.473,0.561,HIGH,RECALL,,
RCL0308,Recalled Device 308,"AC Power Cords, shipped betwee",Hospira Inc,"AC Power Cords, ship","AC Power Cords, shipped betwee",GENERAL_WARD,0.6,DIAGNOSTIC,High,CLINICAL,10.3.45.16,2026-04-02,0.45,0.306,0.495,0.473,0.559,HIGH,RECALL,,
FDA0203,Dialysis Machine 203,Dialysis Machine,"C.R. Bard, Inc. (Basd) -300626",GLIDEPATH,DIALYSIS CATHETER,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.216.115,2026-08-27,0.598,0.14,0.456,0.387,0.558,HIGH,Malfunction,20260227,24468017
FDA0080,Defibrillator 080,Defibrillator,Philips Medical Systems,HEARTSTART XL+ DEFIB,DEFIBRILLATOR,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.199.179,2026-04-16,0.56,0.178,0.448,0.387,0.556,HIGH,Malfunction,20260227,24468809
FDA0079,Defibrillator 079,Defibrillator,Zoll Medical Corporation,AED PLUS,DEFIBRILLATOR,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.99.87,2026-02-05,0.634,0.088,0.457,0.379,0.549,ELEVATED,Malfunction,20260227,24468733
FDA0215,Dialysis Machine 215,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.3.162.68,2026-02-04,0.582,0.143,0.447,0.381,0.549,ELEVATED,Injury,20260225,24443971
FDA0133,Syringe Pump 133,Syringe Pump,Medtronic Puerto Rico Operatio,PUMP MMT-1884L MM780,AUTOMATED INSULIN DOSING DEVIC,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.55.89,2026-09-19,0.527,0.289,0.475,0.428,0.548,ELEVATED,Malfunction,20260227,24466128
FDA0122,Syringe Pump 122,Syringe Pump,Medtronic Puerto Rico Operatio,MINIMED 740G OUS SYS,"PUMP, INFUSION, INSULIN, TO BE",ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.2.222.42,2026-03-18,0.559,0.252,0.48,0.426,0.547,ELEVATED,Malfunction,20260227,24466014
FDA0171,Pacemaker Programmer 171,Pacemaker Programmer,Medtronic Puerto Rico Villalba,CAPSURE SENSE LEAD M,PERMANENT PACEMAKER ELECTRODE,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.2.31.152,2026-01-08,0.747,0.21,0.585,0.502,0.547,ELEVATED,Injury,20260227,24466538
FDA0168,Pacemaker Programmer 168,Pacemaker Programmer,Medtronic Puerto Rico Villalba,CAPSUREFIX NOVUS LEA,PERMANENT PACEMAKER ELECTRODE,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.1.249.249,2026-09-16,0.769,0.178,0.586,0.497,0.543,ELEVATED,Injury,20260227,24466410
FDA0173,Pacemaker Programmer 173,Pacemaker Programmer,Medtronic Puerto Rico Villalba,CAPSUREFIX NOVUS LEA,PERMANENT PACEMAKER ELECTRODE,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.3.32.200,2026-02-05,0.665,0.289,0.566,0.501,0.542,ELEVATED,Injury,20260227,24466577
FDA0139,Syringe Pump 139,Syringe Pump,Carefusion Sd,ALARIS SYSTEM,"PUMP, INFUSION",ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.123.218,2026-10-13,0.626,0.169,0.488,0.417,0.541,ELEVATED,Malfunction,20260227,24466192
FDA0169,Pacemaker Programmer 169,Pacemaker Programmer,Medtronic Puerto Rico Villalba,CAPSUREFIX NOVUS LEA,PERMANENT PACEMAKER ELECTRODE,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.2.207.138,2026-02-05,0.66,0.289,0.563,0.498,0.539,ELEVATED,Injury,20260227,24466414
FDA0032,Infusion Pump 032,Infusion Pump,Insulet Corporation,OMNIPOD 5 AUTOMATED ,AUTOMATED INSULIN DELIVERY SYS,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.2.244.232,2026-10-01,0.629,0.164,0.487,0.416,0.539,ELEVATED,Malfunction,20260227,24466092
FDA0206,Dialysis Machine 206,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.42.182,2026-05-18,0.651,0.054,0.453,0.37,0.538,ELEVATED,Injury,20260227,24474711
FDA0030,Infusion Pump 030,Infusion Pump,Medtronic Puerto Rico Operatio,MINIMED 740G OUS SYS,"PUMP, INFUSION, INSULIN, TO BE",ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.1.167.243,2026-05-05,0.569,0.209,0.468,0.408,0.526,ELEVATED,Malfunction,20260227,24466052
FDA0211,Dialysis Machine 211,Dialysis Machine,Vantive Us Healthcare Llc,MINICAP TRANSFER SET,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.130.166,2026-02-27,0.412,0.295,0.402,0.371,0.525,ELEVATED,Malfunction,20260226,24461539
FDA0086,CT Scanner 086,CT Scanner,Bayer Medical Care Inc.,STELLANT DUAL CT INJ,CT INJECTION SYSTEM,RADIOLOGY,0.7,DIAGNOSTIC,Medium,CLINICAL,10.1.89.70,2026-03-23,0.733,0.883,0.872,0.848,0.525,ELEVATED,Injury,20260219,24388904
FDA0212,Dialysis Machine 212,Dialysis Machine,"C.R. Bard, Inc. (Basd) -300626",GLIDEPATH,DIALYSIS CATHETER,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.3.12.166,2026-06-03,0.483,0.217,0.414,0.367,0.524,ELEVATED,Malfunction,20260225,24439744
FDA0024,Infusion Pump 024,Infusion Pump,Insulet Corporation,OMNIPOD DASH  INSULI,"PUMP, INFUSION, INSULIN",ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.1.191.69,2026-05-01,0.506,0.266,0.451,0.405,0.519,ELEVATED,Malfunction,20260227,24466035
FDA0216,Dialysis Machine 216,Dialysis Machine,Vantive Us Healthcare Llc,NI,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.3.237.7,2026-07-27,0.581,0.101,0.428,0.358,0.518,ELEVATED,Injury,20260225,24444580
FDA0175,Pacemaker Programmer 175,Pacemaker Programmer,Medtronic Puerto Rico Villalba,CAPSUREFIX NOVUS LEA,PERMANENT PACEMAKER ELECTRODE,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.1.3.184,2026-02-12,0.72,0.167,0.549,0.466,0.509,ELEVATED,Injury,20260227,24466585
FDA0176,Pacemaker Programmer 176,Pacemaker Programmer,"St. Jude Medical, Inc.(Crm-Syl",ASSURITY MRI,"Implantable pulse generator, p",ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.136.206,2026-03-19,0.469,0.286,0.435,0.396,0.506,ELEVATED,Malfunction,20260227,24466586
FDA0026,Infusion Pump 026,Infusion Pump,Medtronic Puerto Rico Operatio,PARADIGM REAL-TIME I,"PUMP, INFUSION, INSULIN, TO BE",ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.32.231,2026-05-18,0.606,0.134,0.459,0.389,0.505,ELEVATED,Malfunction,20260227,24466045
FDA0023,Infusion Pump 023,Infusion Pump,Medtronic Puerto Rico Operatio,PUMP 1886 780G OUS B,AUTOMATED INSULIN DOSING DEVIC,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.2.16.181,2026-03-06,0.573,0.17,0.453,0.39,0.504,ELEVATED,Malfunction,20260227,24466033
FDA0194,ECG Machine 194,ECG Machine,"Datex-Ohmeda, Inc.",NOVII PATCH,"ELECTRODE, ELECTROCARDIOGRAPH",CARDIOLOGY,0.8,DIAGNOSTIC,Medium,CLINICAL,10.3.250.99,2026-03-06,0.612,0.739,0.729,0.709,0.501,ELEVATED,Malfunction,20260122,24145280
FDA0163,Pacemaker Programmer 163,Pacemaker Programmer,Medtronic Puerto Rico Villalba,CAPSUREFIX NOVUS LEA,PERMANENT PACEMAKER ELECTRODE,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.2.179.69,2026-11-13,0.648,0.229,0.528,0.46,0.5,ELEVATED,Injury,20260227,24466196
FDA0006,Ventilator 006,Ventilator,"Respironics, Inc.",REMSTAR PLUS C-FLEX,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.4.78.94,2026-05-19,0.421,0.244,0.385,0.349,0.496,ELEVATED,Malfunction,20260227,24466080
FDA0123,Syringe Pump 123,Syringe Pump,Medtronic Puerto Rico Operatio,PUMP 1886 780G OUS B,AUTOMATED INSULIN DOSING DEVIC,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.1.245.118,2026-06-11,0.51,0.225,0.436,0.386,0.496,ELEVATED,Malfunction,20260227,24466033
FDA0158,Anesthesia Machine 158,Anesthesia Machine,Ge Medical Systems (China) Co.,CARESTATION 650,ANESTHESIA GAS MACHINE,OPERATING_THEATRE,0.9,SURGICAL,High,CRITICAL_CARE,10.2.43.54,2026-07-07,0.616,0.256,0.519,0.458,0.496,ELEVATED,Malfunction,20260227,24467500
FDA0063,Defibrillator 063,Defibrillator,Philips North America Llc,HEARTSTART XL+ DEFIB,DEFIBRILLATOR,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.161.114,2026-03-25,0.538,0.109,0.403,0.34,0.491,ELEVATED,Malfunction,20260227,24466855
FDA0178,Pacemaker Programmer 178,Pacemaker Programmer,"Medtronic, Inc.",CARELINK SMARTSYNC C,PACEMAKER/ICD/CRT NON-IMPLANTE,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.96.70,2026-01-15,0.528,0.19,0.432,0.377,0.486,ELEVATED,Malfunction,20260227,24466623
FDA0021,Infusion Pump 021,Infusion Pump,Beta Bionics Inc.,ILET BIONIC PANCREAS,ALTERNATE CONTROLLER ENABLED I,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.3.194.235,2026-08-04,0.474,0.248,0.422,0.379,0.486,ELEVATED,Malfunction,20260227,24466007
FDA0125,Syringe Pump 125,Syringe Pump,Medtronic Puerto Rico Operatio,PUMP 1886 780G OUS B,AUTOMATED INSULIN DOSING DEVIC,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.1.221.9,2026-04-24,0.559,0.151,0.435,0.373,0.483,ELEVATED,Malfunction,20260227,24466039
FDA0002,Ventilator 002,Ventilator,"Respironics, Inc.",BIPAP A-30,"VENTILATOR, CONTINUOUS, NON-LI",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.172.20,2026-02-10,0.535,0.1,0.397,0.333,0.482,ELEVATED,Malfunction,20260227,24466053
FDA0008,Ventilator 008,Ventilator,"Respironics, Inc.",REMSTAR PLUS C-FLEX,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.3.9.68,2026-02-17,0.559,0.074,0.402,0.332,0.482,ELEVATED,Malfunction,20260227,24466082
FDA0088,CT Scanner 088,CT Scanner,C.R. Bard Inc. (Covington) -10,BARDEX® I.C. FOLEY C,FOLEY CATHETER,RADIOLOGY,0.7,DIAGNOSTIC,Medium,CLINICAL,10.2.11.94,2026-09-02,0.679,0.793,0.797,0.773,0.478,ELEVATED,Injury,20260219,24393286
FDA0017,Ventilator 017,Ventilator,"Respironics, Inc.","REMSTAR PLUS C-FLEX,","VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.134.102,2026-01-04,0.391,0.249,0.368,0.336,0.477,ELEVATED,Malfunction,20260227,24466133
FDA0109,MRI Scanner 109,MRI Scanner,Philips Medical Systems Nederl,INGENIA,"FULL-BODY MRI SYSTEM, SUPERCON",RADIOLOGY,0.7,DIAGNOSTIC,Medium,CLINICAL,10.1.209.179,2026-10-21,0.612,0.856,0.781,0.771,0.475,ELEVATED,Malfunction,20260217,24366885
FDA0167,Pacemaker Programmer 167,Pacemaker Programmer,Boston Scientific Corporation,PROPONENT MRI EL DR,PACEMAKER,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.4.91.9,2026-10-06,0.582,0.255,0.496,0.439,0.475,ELEVATED,Injury,20260227,24466356
FDA0082,CT Scanner 082,CT Scanner,Bayer Medical Care Inc.,STELLANT DUAL CT INJ,"CT INJECTION SYSTEM,",RADIOLOGY,0.7,DIAGNOSTIC,Medium,CLINICAL,10.1.47.75,2026-06-24,0.717,0.715,0.788,0.752,0.467,ELEVATED,Injury,20260226,24457574
FDA0029,Infusion Pump 029,Infusion Pump,Beta Bionics Inc.,ILET BIONIC PANCREAS,ALTERNATE CONTROLLER ENABLED I,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.1.42.97,2026-02-07,0.53,0.157,0.419,0.361,0.467,ELEVATED,Malfunction,20260227,24466050
FDA0031,Infusion Pump 031,Infusion Pump,Insulet Corporation,OMNIPOD 5 AUTOMATED ,AUTOMATED INSULIN DELIVERY SYS,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.42.159,2026-09-01,0.479,0.206,0.407,0.36,0.463,ELEVATED,Malfunction,20260227,24466059
FDA0045,Patient Monitor 045,Patient Monitor,Mis Implants Technologies Ltd.,SEVEN XD INT. HEX. I,"IMPLANT, ENDOSSEOUS, ROOT-FORM",ICU,0.95,MONITORING,High,CRITICAL_CARE,10.1.122.9,2026-04-16,0.786,0.781,0.862,0.823,0.462,ELEVATED,Injury,20260227,24466015
FDA0075,Defibrillator 075,Defibrillator,Zoll Manufacturing Corporation,LIFEVEST WCD 4000 SY,WEARABLE CARDIOVERTER DEFIBRIL,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.1.67.35,2026-09-13,0.373,0.238,0.351,0.321,0.455,ELEVATED,Malfunction,20260227,24468686
FDA0039,Infusion Pump 039,Infusion Pump,Carefusion Sd,ALARIS SYSTEM,"PUMP, INFUSION",ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.1.14.192,2026-03-25,0.439,0.236,0.394,0.354,0.454,ELEVATED,Malfunction,20260227,24466192
FDA0201,Dialysis Machine 201,Dialysis Machine,"C.R. Bard, Inc. (Basd) -300626",RELIANCE XK LONG-TER,DIALYSIS CATHETER,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.236.156,2026-10-02,0.53,0.065,0.378,0.312,0.453,ELEVATED,Malfunction,20260227,24466171
FDA0007,Ventilator 007,Ventilator,"Respironics, Inc.",REMSTAR PRO C-FLEX+,"VENTILATOR, NON-CONTINUOUS (RE",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.4.167.218,2026-06-17,0.51,0.082,0.373,0.311,0.45,ELEVATED,Malfunction,20260227,24466081
FDA0213,Dialysis Machine 213,Dialysis Machine,"C.R. Bard, Inc. (Basd) -300626",GLIDEPATH,DIALYSIS CATHETER,ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.2.5.117,2026-01-20,0.431,0.166,0.358,0.313,0.449,ELEVATED,Malfunction,20260225,24440372
FDA0153,Anesthesia Machine 153,Anesthesia Machine,"Datex-Ohmeda, Inc.",AVANCE,ANESTHESIA GAS MACHINE,OPERATING_THEATRE,0.9,SURGICAL,High,CRITICAL_CARE,10.4.104.29,2026-03-06,0.522,0.271,0.464,0.416,0.449,ELEVATED,Malfunction,20260227,24466842
FDA0195,ECG Machine 195,ECG Machine,"Huzhou Junda Industry Co., Ltd",BLAYCO 2500-5,"ELECTRODE, ELECTROCARDIOGRAPH",CARDIOLOGY,0.8,DIAGNOSTIC,Medium,CLINICAL,10.4.65.104,2026-07-27,0.387,0.837,0.624,0.643,0.449,ELEVATED,Malfunction,20260107,23989790
FDA0091,CT Scanner 091,CT Scanner,Carl Zeiss Meditec Production ,CT LUCIA,CT LUCIA 602,RADIOLOGY,0.7,DIAGNOSTIC,Medium,CLINICAL,10.2.188.141,2026-09-01,0.617,0.764,0.743,0.725,0.448,ELEVATED,Injury,20260217,24369026
FDA0132,Syringe Pump 132,Syringe Pump,Insulet Corporation,OMNIPOD 5 AUTOMATED ,AUTOMATED INSULIN DELIVERY SYS,ICU,0.95,CRITICAL_CARE,High,CRITICAL_CARE,10.4.103.122,2026-11-27,0.578,0.072,0.413,0.341,0.446,ELEVATED,Malfunction,20260227,24466092
FDA0165,Pacemaker Programmer 165,Pacemaker Programmer,"St. Jude Medical, Inc.(Crm-Syl",ENDURITY MRI PACEMAK,"Implantable pulse generator, p",CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.1.167.250,2026-01-27,0.669,0.101,0.486,0.404,0.444,ELEVATED,Injury,20260227,24466330
FDA0161,Pacemaker Programmer 161,Pacemaker Programmer,Boston Scientific Corporation,ESSENTIO MRI EL DR,PACEMAKER,CARDIOLOGY,0.8,CRITICAL_CARE,High,CLINICAL,10.3.77.147,2026-11-09,0.593,0.184,0.472,0.408,0.444,ELEVATED,Injury,20260227,24466124
FDA0094,CT Scanner 094,CT Scanner,Brainlab Se,SPINE & TRAUMA NAVIG,IMAGE GUIDED SURGERY SYSTEM/IN,RADIOLOGY,0.7,DIAGNOSTIC,Medium,CLINICAL,10.4.60.51,2026-01-09,0.619,0.746,0.737,0.717,0.443,ELEVATED,Injury,20260212,24321597
FDA0205,Dialysis Machine 205,Dialysis Machine,Vantive Us Healthcare Llc,MINICAP,"SET, ADMINISTRATION, FOR PERIT",ICU,0.95,LIFE_SUPPORT,High,CRITICAL_CARE,10.3.200.152,2026-10-09,0.433,0.152,0.353,0.307,0.44,ELEVATED,Malfunction,20260227,24472053
